Timestamp, Memory usage in Mb
2023-10-08 02:26:53,2177 Mb
2023-10-08 02:26:58,2173 Mb
2023-10-08 02:27:03,2183 Mb
2023-10-08 02:27:08,2186 Mb
2023-10-08 02:27:13,2179 Mb
2023-10-08 02:27:18,2185 Mb
2023-10-08 02:27:23,2173 Mb
2023-10-08 02:27:28,2179 Mb
2023-10-08 02:27:33,2187 Mb
2023-10-08 02:27:38,2212 Mb
2023-10-08 02:27:43,2198 Mb
2023-10-08 02:27:48,2190 Mb
2023-10-08 02:27:53,2170 Mb
2023-10-08 02:27:58,2177 Mb
2023-10-08 02:28:03,2202 Mb
2023-10-08 02:28:08,2201 Mb
2023-10-08 02:28:13,2209 Mb
